Notes for posting,Shared,Timestamp,Contact,Organization,Email,Phone Number,Short Description of Advanced Training Opportunity (3-5 sentences),Location of Advanced Training Opportunity,Date(s) and Time(s) of Advanced Training,Any additional information:,Email Address,,,
,X,12/27/2019 12:30:20,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Citizen Science Wetland Monitoring Orientation: Now in our third year of ephemeral wetland monitoring at the Center, we need your help exploring these ponds and discovering what life inhabits them. Come learn about all of the ways that you and your friends and family can help monitor our wetlands. No experience or knowledge required, just a love for wildlife and wetlands! Member: Free | Non-Member: $10 Register at https://www.schlitzaudubon.org/event/citizen-science-wetland-monitoring-orientation-2/","Schlitz Audubon Nature Center, Milwaukee","Saturday, February 29, 2020 9:00 AM - 11:00 AM",,,,,
,X,12/27/2019 12:47:02,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Lake Michigan Geology Hike: Accompany Director of Education Tom Finley and Senior Naturalist Don Quintenz for a leisurely stroll along the shore of our Great Lake to learn about the geologic history of both the lake, and the beautiful and diverse rocks that litter its shore. Learn why most of the rocks on the beach are of Silurian age and how this related to the regional geology. The many fossils that etch the surfaces of the dolomitic rocks tell stories of ancient life forms that lived in tropical seas. The surrounding landscape includes the Nipissing terrace and a more ancient bluff that were formed as the Great Lakes rose and fell with the opening and closing of outlets to the sea. We’ll consult historic maps of the Great lakes to see how the glacier’s advances and retreats caused this to happen. Member: $15 | Non-Member: $20 Register at https://www.schlitzaudubon.org/event/lake-michigan-geology-hike/","Schlitz Audubon Nature Center, Milwaukee","Wednesday, March 11, 2020 1:00 PM - 2:30 PM",,,,,
,X,12/27/2019 12:49:58,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Bird Club: Corinne Palmer, Citizen Science Coordinator at Schlitz Audubon, will present an overview of Citizen Science at the Center. Learn about how monitoring efforts help birds at the Center and how you can get involved! Co-hosted by Dan Panetti, owner of Wild Birds Unlimited in Mequon. Free to all. Registration required. Register at https://www.schlitzaudubon.org/event/bird-club-7/","Schlitz Audubon Nature Center, Milwaukee","Wednesday, March 11, 2020 6:30 PM - 8:00 PM",,,,,
,X,12/27/2019 14:32:14,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,414-352-2880,"Home Prairie Planting & Maintenance: Learn about starting a home prairie garden. We’ll discuss preparation, soil, planting/seeding, maintenance, and aggressively spreading species, as well as the benefits of native plants. We’ll end with a discussion session to address questions or comments. Member: $15 | Non-Member: $20 Register at https://www.schlitzaudubon.org/event/home-prairie-planting-maintenance/
","Schlitz Audubon Nature Center, Milwaukee","Thursday, March 26, 2020 6:00 PM - 7:30 PM",,,,,
,X,2/10/2020 11:36:40,Emily Peters,S.A.G.E,emily.peters12301@gmail.com,6085137583,"What Does Pollinator Stewardship Look Like? 
UMN Bee Squad Director Bridget Mendel will give a talk on the importance of diverse pollinators for ecological health. She will provide an overview of the main threats to pollinators, and provide practical ways everyone can help them. ","Heide Hall 100, UW-Whitewater, Whitewater, Wisconsin",Feb 20th 6-7 pm ,"Event is free to the public, but we will be selling house plants before the lecture!",,,,
,X,2/17/2020 12:20:24,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"At our Invasive Species Citizen Science Workshop, attendees will learn how to identify common and priority invasive plants in the region and how to map the plants to contribute to local monitoring and management efforts. Representatives from nearby Cooperative Invasive Species Management Areas will highlight opportunities to participate in new and ongoing invasive species monitoring projects.","Langlade County Resource Center, 837 Clermont St, Antigo, WI 54409","April 24th, 2:30 - 5 pm","Workshop is free, but registration is required. Register online (https://docs.google.com/forms/d/e/1FAIpQLSfRZ-jxoWjiIqqyYwfgHtydh-3c37RjT4-VMIL7WenD_MNScQ/viewform) or contact Anne Pearce (anne.pearce@wisc.edu, 608-262-9570)",,,,
,X,2/17/2020 12:21:50,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"At our Invasive Species Citizen Science Workshop, attendees will learn how to identify common and priority invasive plants in the region and how to map the plants to contribute to local monitoring and management efforts. Representatives from nearby Cooperative Invasive Species Management Areas will highlight opportunities to participate in new and ongoing invasive species monitoring projects.","Navarino Nature Center, W5646 Lindsten Rd, Shiocton, WI 54170","April 25th, 9:30 am - noon","Workshop is free, but registration is required. Register online (https://docs.google.com/forms/d/e/1FAIpQLSfRZ-jxoWjiIqqyYwfgHtydh-3c37RjT4-VMIL7WenD_MNScQ/viewform) or contact Anne Pearce (anne.pearce@wisc.edu, 608-262-9570)",,,,
,X,2/17/2020 12:24:07,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"At our Invasive Species Citizen Science Workshop, attendees will learn how to identify common and priority invasive plants in the region and how to map the plants to contribute to local monitoring and management efforts. Representatives from nearby Cooperative Invasive Species Management Areas will highlight opportunities to participate in new and ongoing invasive species monitoring projects.
","Spooner Agricultural Research Station, W6646 St Hwy 70, Spooner, WI 54801","April 30th, 5:30 - 8 pm","Workshop is free, but registration is required. Register online (https://www.eventbrite.com/e/invasive-species-citizen-science-workshop-1-tickets-92059712077) or call St. Croix River Association (715-483-3300).",,,,
,X,2/17/2020 12:25:32,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"At our Invasive Species Citizen Science Workshop, attendees will learn how to identify common and priority invasive plants in the region and how to map the plants to contribute to local monitoring and management efforts. Representatives from nearby Cooperative Invasive Species Management Areas will highlight opportunities to participate in new and ongoing invasive species monitoring projects.","Willow River State Park Nature Center, 1034 Co Hwy A, Hudson, WI 54016","May 1st, 10 am - 12:30 pm","Workshop is free, but registration is required. Register online (https://www.eventbrite.com/e/invasive-species-citizen-science-workshop-2-tickets-92092919401) or call St. Croix River Association (715-483-3300).",,,,
,X,2/25/2020 9:57:00,Randy Mell,UW-Madison Div of Extension,rmell@wisc.edu,6083868900,"Winona State University/Winona Historical Society
Driftless Area Ecological History Lecture Series March 25, 2020 - April 21, 2020
Use this link to get more information about this program http://www.winonahistory.org/to-do.html
",Winona State University and Winona Historical Society,"March 25, 2020- April 21, 2020",,,,,
,X,3/25/2020 11:27:31,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,608-362-6212,"
Welty is proud to present Chris Nelson. Chris retired last year from Beloit College where she was Public Services Librarian for 34 years. She is an ever-curious researcher and native plant gardener.

We are excited to have Chris at Welty in early June to help kick off what is going to be a great summer. Come learn about the plight of the hard working insects then stay for an optional insect hike lead by Welty educators.",Welty Environmental Center,06/07/20,"Lecture Abstract:

From 1987, when E.O. Wilson described invertebrates as “the little things that run the world,” to 2018, when a New York Times Magazine cover declared “The Insect Apocalypse is Here,” insect populations declined precipitously.  Why are they disappearing and why does it matter?  We will look at findings by people who have been counting insects for decades, including observers in Germany’s protected areas, butterfly watchers in Ohio, and a scientist conducting research in Puerto Rico.  Much of their information has only recently been synthesized and published, and is now receiving widespread attention.  Other than the cheerless prospect of no butterflies, bumble bees, or fireflies, what are the consequences of insect declines?  Will human workers replace pollinating bees around the world, as they have in China’s orchards?  Closer to home, how can our own landscaping practices improve habitats and support insects?",,,,
,X,3/25/2020 11:29:54,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,608-362-6212,"Come out to the Welty Environmental Center to learn more about the invasive jumping worm. We will explore the wonders of worm. Worms are great! They eat our garbage. However, some worms like the jumping worm are invasive and damage forests. We will conduct citizen science to uncover if jumping worms are in the area and then learn how to report our findings",Welty Environmental Center/Big Hill Park,05/31/20,,,,,
,X,3/25/2020 11:31:33,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,608-362-6212,"Come out to the Welty Environmental Center to learn more about the invasive jumping worm. We will explore the wonders of worm. Worms are great! They eat our garbage. However, some worms like the jumping worm are invasive and damage forests. We will conduct citizen science to uncover if jumping worms are in the area and then learn how to report our findings","Welty Environmental Center/Big Hill Park, Beloit, WI",08/12/20,,,,,
,X,3/25/2020 11:32:57,Aaron Wilson,Welty Environmental Center,aaron@weltycenter.org,608-362-6212,"For nature-lovers, there is no better way to celebrate the final arrival of spring than a hike in the forest to observe the blooms of spring wildflowers. On this walk, we’ll look for the blooms of Dutchman’s breeches, hepaticas, violets, spring beauty, wild ginger, and anemones. Dependent on the yearly variation in bloom time, there may also be columbine, blue wood phlox, trilliums, and Jack in the Pulpit. Big Hill Park is the perfect place for this type of hike because it contains one of the best wildflower displays in Rock county.","Welty Environmental Center/Big Hill Park, Beloit, WI",05/10/20,"Note: This is an active program that will require walking on various terrains throughout Big Hill Park. 

Dave Bendlin is a retired biology and environmental studies teacher from Milton. In his new career as a volunteer naturalist, he leads nature hikes for the Rock County Conservationists, the Janesville, Beloit and county parks and helps with environmental education programs for schools and nature centers throughout Rock county. He especially enjoys helping people develop an interest in benefiting wildlife through gardening and landscaping with native plants.",,,,
,,3/27/2020 20:03:32,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Kestrel Boxes – The Difference They Make
Pheasant Branch Conservancy has joined the initiative to support the American Kestrel. Over the past forty years American Kestrel numbers have dropped as much as 60% in the Eastern and Midwestern United States.  Through a program sponsored by Madison Audubon, two nest boxes were installed in the Conservancy in the fall of 2019.  Madison Audubon has been mounting nest boxes on poles for over 25 years and now has 175 boxes in 5 different counties.  Learn why these boxes are so very important and how they are monitored by volunteers.","Kromrey Middle School Room 510, 7009 Donna Drive Middleton, WI 53562","May 21, 2020. 6:30 - 7:30 p.m.","Speaker bio: Patrick Ready is an artist and birder living on the west side of Madison. Three years ago he moved there to downsize but couldn’t resist landscaping his yard for birds, bees and butterflies. Last year he retired from Wild Birds Unlimited where he was a back yard nature specialist. A long-time member and volunteer for Madison Audubon he has been monitoring Kestrel boxes for almost 10 years now. Currently he has 23 boxes he manages between Oregon and Mount Horeb. His boxes fledged 31 Kestrel chicks in 2019. Patrick is the current president of the Bluebird Restoration Association of Wisconsin and editor of their newsletter the Wisconsin Bluebird.",,,,
,X,4/2/2020 9:19:36,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"In this Invasive Species Citizen Science Workshop, learn how to identify priority invasive species in southwestern and south central Wisconsin and how to map them with the GLEDN app. WI First Detector Network and Upper Sugar River Watershed Association invasive species experts will share how your mapping efforts contribute to improved invasive species management.",Online free webinar,"Friday, April 17th, 1:30 - 3:00 pm","Webinar link: https://uwextension.zoom.us/j/813023626
Webinar will also be recorded and posted later to WIFDN's website: https://fyi.extension.wisc.edu/wifdn/",,,,
,X,4/2/2020 9:27:21,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"In this Invasive Species Citizen Science Workshop, learn how to identify priority invasive species in northeastern Wisconsin and how to map them with the GLEDN app. WI First Detector Network and Timberland Invasives Partnership invasive species experts will share how your mapping efforts contribute to improved invasive species management.",Online webinar,"Friday, April 24th","Webinar link: https://uwextension.zoom.us/j/516623592
Webinar will be posted later on WIFDN website: https://fyi.extension.wisc.edu/wifdn/
This event replaces two in-person Inv Sp Cit Sci workshops I submitted previously (April 24th in Antigo, April 25th at Navarino Nature Center in Shiocton)",,,,
,X,4/2/2020 9:29:58,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"In this Invasive Species Citizen Science Workshop, learn how to identify priority invasive species in northwestern Wisconsin and how to map them with the GLEDN app. WI First Detector Network and St. Croix-Red Cedar Cooperative Weed Management Area invasive species experts will share how your mapping efforts contribute to improved invasive species management.",Online webinar,"Friday, May 1st, 10:00 - 11:30 am","Webinar link: https://uwextension.zoom.us/j/698493737
Webinar recording will be posted later on the WIFDN website: https://fyi.extension.wisc.edu/wifdn/
This webinar replaces two in-person Inv Sp Cit Sci workshops I submitted previously (April 30th at Spooner Ag Research Station, May 1st at Willow River State Park)",,,,
,X,5/12/2020 21:46:56,Mr. Cully Shelton,International Crane Foundation,cshelton@savingcranes.org,6083569462,"The International Crane Foundation provides weekly educational webinars. These webinars focus on different crane species and conservation efforts from our staff around the world. Webinars take place at 11:00 am central time every Thursday. These webinars are also available to watch on our website and our YouTube channel after the fact. Join us for the International Crane Foundation’s next “From the Field Webinar"".",Virtual Webinar - International Crane Foundation,"Thursday, May 28, 2020 from 11:00 a.m. - 12:00 p.m. CST","May 28 Program Title: It’s a Bird, It’s a Plane, It’s a Whooping Crane! The Successes and Challenges of Reintroducing Whooping Cranes presented by Hillary Thompson, North America Program Crane Analyst",,,,
,X,5/12/2020 21:49:46,Mr. Cully Shelton,International Crane Foundation,cshelton@savingcranes.org,6083569462,"The International Crane Foundation provides weekly educational webinars. These webinars focus on different crane species and conservation efforts from our staff around the world. Webinars take place at 11:00 am central time every Thursday. These webinars are also available to watch on our website and our YouTube channel after the fact. Join us for the International Crane Foundation’s next “From the Field Webinar"".",Virtual Webinar - International Crane Foundation (https://www.savingcranes.org/from-field-webinar-series/),"Thursday, June 4, 2020 from 11:00 a.m. - 12:00 p.m. CST","June 4 Program Title:The Health of Cranes: Avian Medicine in Conservation presented Dr. Barry Hartup, Director of Conservation Medicine",,,,
,X,5/12/2020 21:51:33,Mr. Cully Shelton,International Crane Foundation,cshelton@savingcranes.org,6083569462,"The International Crane Foundation provides weekly educational webinars. These webinars focus on different crane species and conservation efforts from our staff around the world. Webinars take place at 11:00 am central time every Thursday. These webinars are also available to watch on our website and our YouTube channel after the fact. Join us for the International Crane Foundation’s next “From the Field Webinar"".",Virtual Webinar - International Crane Foundation (https://www.savingcranes.org/from-field-webinar-series/),"Thursday, June 18, 2020 from 11:00 a.m. - 12:00 p.m. CST","June 18 Program Title: Cranes and Artists – A Creative Dance presented by Lizzie Condon, Whooping Crane Outreach Coordinator, and the Leigh Yawkey Woodson Art Museum, Wausau, Wisconsin",,,,
,,5/26/2020 10:04:48,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"The Watershed Chronicles. Please join Troy Hess from On The Yahara Writing Center in a multi-genre writing class to explore ways to express your interests and appreciation for the Yahara watershed. The Yahara watershed encompasses all of the land and waterways that drain to the five Yahara lakes. You will take a look at poetry, memoir and non-fiction sources for inspiration and then begin your own watershed journal-to-writing process. No experience is necessary. This class is inspired by participation in the Yahara Watershed Academy, a citizens' learning academy dedicated to furthering our knowledge and active concern for the water we live with. More info at http://pheasantbranch.org
","Parisi Park, 2405 Park St, Middleton, WI","June 18, 2020 from 6:30 to 7:30 pm",RSVPs appreciated but not necessary to conservancyday@pheasantbranch.org.,,,,
,,5/26/2020 10:09:34,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Conservancy Day Program: Forest Bathing. The concept of Forest Bathing, or nature therapy, originated in Japan and has been described as an immersion in the forest atmosphere. It involves slow walks or seated meditation as a means of taking in nature through the senses; primarily sights, sounds, and smells. Practicing forest bathing has shown measurable improvements in both physical and mental health. This presentation will offer information about forest bathing, it’s benefits, and practical suggestions on how to get started. 
","Orchid Heights Park Shelter, 3960 Valley Ridge Road","July 16, 2020 from 6:30 to 7:30 pm",RSVPs appreciated but not necessary to conservancyday@pheasantbranch.org.,,,,
,,5/26/2020 10:11:56,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Conservancy Day Program: Tagging Monarch Butterflies. Help us tag monarch butterflies in the Conservancy!  Monarch tagging starts nationwide on the first official day of monarch migration, close to the middle of August. Citizens across the country will tag monarchs as they migrate south to Mexico. When a tagged butterfly is recaptured elsewhere along its migratory route, the tagger will be notified about where and when it was found, by whom, and how many miles it traveled.
","Pheasant Branch Conservancy, Dane County Parking Lot, 4864 Pheasant Branch Road","August 20, 2020 from 6:30 to 7:30 pm",RSVPs appreciated but not necessary to conservancyday@pheasantbranch.org.,,,,
,,5/26/2020 10:14:13,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Conservancy Day Program: Bird Collision Corps: Working to Reduce Bird-Window Strikes. Birds and windows are not a good combination, and as a result, hundreds of millions of birds die each year in the US alone as a result of window collisions. Madison Audubon, UW-Madison, and the Dane County Wildlife Center have worked with volunteer citizen scientists since 2018 to study this problem at a local scale in Madison, focused primarily on the UW-Madison campus but with strong programs at other locations. One such location is Kromrey Middle School, where students from Clark Street Community School conduct surveys along the side of Kromrey that abuts Pheasant Branch Creek Corridor. You will learn about the Bird Collision Corps program, and the benefits of such work to birds, buildings, and building inhabitants.  This presentation is being offered in partnership with Madison Audubon.
","Room 510, Kromrey Middle School, Donna Drive, Middleton","September 17, 2020 from 6:30 to 7:30 pm",RSVPs appreciated but not necessary to conservancyday@pheasantbranch.org. More Conservancy Day Program advanced training opportunities are listed on http://www.pheasantbranch.org. ,,,,
,,5/26/2020 10:16:24,Anne Boucher,Friends of Pheasant Branch Conservancy,education@pheasantbranch.org,608-422-0877,"Conservancy Day Program: The Green Schools of Middleton and Cross Plains. Did you know that four of our schools and the district as a whole have won the prestigious Green Ribbon Award from the US Department of Education?  Did you know that the construction of the elementary school at Pope Farm and renovations to the high school will embrace technology and building practices that reduce the impact of these schools on the environment? Did you know that Pope Farm elementary school will take things a step further and make sustainability a guiding principle at the school?  Join us to learn about everything the school district is doing to make our schools greener.  Learn how this saves our tax dollars every year and provides for an enriched learning environment for all students at these schools.
","Room 510, Kromrey Middle School, Donna Drive, Middleton","October 15, 2020 from 6:30 to 7:30 pm",RSVPs appreciated but not necessary to conservancyday@pheasantbranch.org. More Conservancy Day Program advanced training opportunities are listed on http://www.pheasantbranch.org.,,,,
,X,5/29/2020 16:33:45,Susan Nelson,US Forest Service,susan.nelson@usda.gov,715-685-2644,"Join the first-ever “virtual” Invasive Species Identification Day event on Friday, June 5 at 1 pm. The host will be Ramona Shackleford, Northwoods Cooperative Weed Management Area. Ramona will show how to identify garlic mustard and share video of sites in the area where invasive garlic mustard is being removed. A question and answer session will follow. To register for the program, call Susan Nelson at (715) 685-2644 or email susan.nelson@usda.gov by June 3, 2020. Information on how to join the presentation will be sent via email June 4.","This is a virtual event at the Northern Great Lakes Visitor Center in Ashland, WI.","Friday, June 5 at 1 pm","June is Invasive Species Awareness month in Wisconsin. Join in this session to learn about a silent invader, the garlic mustard.",,,,
,X,6/24/2020 14:35:46,Susan B. Nelson,USDA Forest Service,susan.nelson@usda.gov,715-685-2644,"A Virtual Invasive Species Identification Day event will be held on Friday, July 10 at 1:00 PM. The presenter is Peggy Burkman, Biologist, Apostle Islands National Lakeshore. Peggy will discuss exotic species in the park, what they are doing to manage them, concerns for the future, and how you can help. To register for this online presentation, call Susan Nelson at (715) 685-2644 or email at susan.nelson@usda.gov by July 8, 2020. Information on how to join the online presentation will be sent via email the day before the program.
",This is a virtual online program.,"Friday, July 10, 2020 at 1 pm",Think you might have an invasive plant in your yard or on your property? Please send in pictures of plants you want identified to info@northwoodscwma.org. Pictures of your plants will be used as part of the questions and answers discussion following the presentation. ,,,,
,X,8/19/2020 12:38:35,Emma Keese,FIELD Edventures,emma@fieldedventures.org,6085715180,"Join FIELD Edventures in this two-part workshop on infusing inquiry-based learning and outdoor education into your teaching practice. Review the basics of inquiry, gain strategies to use with your learners and explore inquiry outdoors in the context of virtual or blended learning. Participants will:
- experience outdoor place-based learning that supports the way that people learn;
- learn equitable discussion and reflection practices that deepen student understanding; and
- leave with a plethora of resources and ideas for taking inquiry outdoors using students' near nature, school yards, and local natural areas. 

More information: http://bit.ly/beetlesinquiry",Virtual,September 16 & 17 from 9:30-11:00am,,,,,
,X,8/22/2020 14:57:31,Kate Reilly,Wisconsin's Green Fire,kreillyee@gmail.com,608-203-5706,"Join us for a lively discussion with our panelists on envisioning a future for wolves in Wisconsin. We’ll cover a bit about the history of wolves and wolf management in Wisconsin, why an inclusive and transparent process is essential to effective wolf management, what public perceptions of wolves can tell us about coexistence, and how our neighbor, Minnesota, is managing its resident wolf population. ",Webinar,8/26/20  11:00 AM - 12:30 PM,Register at https://wigreenfire.org/events/,,,,
,X,8/22/2020 16:45:50,Kate Reilly,Wisconsin's Green Fire,kreillyee@wigreenfire.org,715-203-0384 ,"Understanding Equity and Inclusion in Conservation: In this special interactive workshop, we'll work to better understand racial inequities, and especially ways in which inequities have existed in the field of conservation. August Ball, founder and CEO of Cream City Conservation, will present on the history and concepts behind racial inequities and lead our interactive discussion. Wisconsin's Green Fire is co-hosting this unique program with our allied organizations Gathering Waters and the Natural Resources Foundation of Wisconsin. August will challenge us to look at race on personal and societal levels to help us integrate diversity, equity, and inclusion into our work.",Webinar,9/16/20  4:00 - 6:30 PM,Register at https://wigreenfire.org/annual-meeting/2020-programs/,,,,
,X,2/16/2021 15:35:38,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"Our lakes are vital to where we live, work and play. But they need our help!
Lesser celandine, Phragmites, and knotweed are three invasive plants in Wisconsin that grow in wet areas, such as shorelines, and have significant impacts on our lakes. Learn how to identify them, their effects, and how you can take action by looking for and reporting infestations via email or with the Great Lakes Early Detection Network app. This is a free event, but registration is required. Please use the following link to register: https://go.wisc.edu/ixpf32",webinar,"Thursday, March 4th, 6-7 pm",https://go.wisc.edu/ixpf32 ,,,,
,X,2/24/2021 21:43:09,Colleen Robinson,Friends of Pheasant Branch Conservancy (FOPBC),education@pheasantbranch.org,6083954724,"Kestrel Boxes – The Difference They Make. Over the past forty years American Kestrel numbers have dropped as much as 60% in the Eastern and Midwestern United States. Through a program sponsored by Madison Audubon, two nest boxes were installed in the Conservancy in the fall of 2019. Madison Audubon has been mounting nest boxes on poles for over 25 years and now has 175 boxes in 5 different counties. Learn why these boxes are so very important and how they are monitored by volunteers.",FOPBC YouTube channel live feed.,"March 18, 2021 6:30 - 7:30 p.m. ",Conservancy Day Programs the third Thursday evening of each month are great advanced training opportunities. Virtual for the time being.,,,,
,X,2/24/2021 21:46:35,Colleen Robinson,Friends of Pheasant Branch Conservancy (FOPBC),education@pheasantbranch.org,6083954724,"Ground Nesting Birds in Pheasant Branch Conservancy. How are ground nesting birds doing in the Conservancy? Deb Turski and Sherry Caves have set out to answer that question. When they learned of the reports that at least eight species have been in decline in the Conservancy since 2009 they made a plan. They set up a monitoring program to identify and count ground nesting birds in the restored prairie in the Dane County portion of the Conservancy. They piloted the survey in 2019 and developed a full scale monitoring program in 2020. From May to September more than a dozen volunteers walked the hill and western prairie five times each week and entered their observations into eBird checklists. Join us to learn about this project, what the data indicates, and what recommendations can be made based on their work. Deb and Sherry are Master Naturalist graduates of our 2019 class.",FOPBC YouTube channel live feed,"April 15, 2021 6:30 - 7:30 p.m.",Deb and Sherry are Master Naturalist graduates of our 2019 class.,,,,
,X,2/24/2021 21:49:57,Colleen Robinson/Anne Boucher,Friends of Pheasant Branch Conservancy (FOPBC),education@pheasantbranch.org,6084220877,"When Things Happen. Randy Hoffman, retired DNR ecologist, will present how his book ""When Things Happen"" came to be. Discussion of how the book fills an information gap in a person's nature experience highlights the talk. Exploration of the innumerable benefits of nature experiences provides the background for the book. The talk will conclude with examples from the local area regarding where to experience nature's bounty.",FOPBC YouTube Channel live feed,"May 20, 2021. 6:30 - 7:30 p.m.",,,,,
,X,2/24/2021 21:52:32,Colleen Robinson/Anne Boucher,Friends of Pheasant Branch Conservancy (FOPBC),education@pheasantbranch.org,6084220877,"Are You Salt Wise? Pheasant Branch Creek Needs You to Be! Pheasant Branch Creek is one of four waterbodies in Dane County, and over 40 waterbodies across Wisconsin, that are impaired by high chloride concentrations. Learn about the various contributors - its not just road salt, what's being done to protect the creek, and how you can get involved.",FOPBC YouTube Channel Live Feed,"November 18, 2021. 6:30 - 7:30 p.m.",,,,,
,X,3/22/2021 16:11:21,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"Spotted Lanternfly- On Its Way to Wisconsin: Learn about identification and impacts of spotted lanternfly, an insect pest that has not yet been found in Wisconsin. Then learn about two ways you can help monitor for this pest throughout the growing season. ",webinar,"April 14th, 6-7 pm",Register in advance at go.wisc.edu/514LCC,,,,
,X,3/22/2021 16:12:38,Anne Pearce,Wisconsin First Detector Network,anne.pearce@wisc.edu,608-262-9570,"Wasp Watchers to Track Emerald Ash Borer: Emerald ash borer (EAB) is already moving across Wisconsin. Finding the nests of the smoky-winged beetle bandit, a native stingless wasp, can help us track  EAB and its invasive relatives. Learn about these invasive insects and how walking your local baseball field helps us find them!
",webinar,"April 28th, 6-7 pm",Please register in advance at go.wisc.edu/Q9Q108,,,,
,X,7/6/2021 15:21:00,Michelle Allison,Schlitz Audubon Nature Center,mallison@schlitzaudubon.org,4143522880,"Beginning Tree Identification and Ecology 
In this two-part workshop, get to know the most majestic members of our woods — trees. Bark, leaves, flowers, seeds, form and habitat can be used to determine their species. We’ll discuss tree family characteristics and learn how each member of these families occupy a unique niche and ecological function. To register: https://www.schlitzaudubon.org/event/beginning-tree-identification-and-ecology/
","Schlitz Audubon Nature Center, Milwaukee","July 11 and 18, 1:00pm-3:30pm","To register: https://www.schlitzaudubon.org/event/beginning-tree-identification-and-ecology/
",,,,
,X,7/11/2021 15:15:37,Howard Aprill,Wehr Nature Center,Howard.Aprill@milwaukeecountywi.gov,414-828-6542,"The ability to change shape is not relegated to comics and Sci-Fi. Meet the real living shapeshifters and “Transformers” that live in your backyard. Over 50% of all living species go through metamorphosis or major change in their life. In this hands-on workshop discover the secrets of metamorphosis and why it’s relevant to our everyday life. Be prepared to be outside. At the conclusion, you will say “I never metamorphosis I didn’t like”.",Wehr Nature Center,"July 24, 2021  9am - Noon ",Register at www.FriendsofWehr.org  Cost $20.00 per person.,,,,
,X,10/10/2021 12:32:47,Laurie Elwell,Friends of the UW Arboretum,laurie.elwell@yahoo.com,608-354-1193,"Nature Photography with Glenn Chambliss, Birdwatcher and Professor Emeritus of Bacteriology, UW Madison",virtual/webinar via Zoom,"October 21, 2021 12 noon - 1:15pm ",Register at foamadison.org, cost is $10, link will be provided to registrants for later viewing.,,
,X,10/10/2021 12:41:05,Laurie Elwell,Friends of the UW Arboretum,laurie.elwell@yahoo.com,608/354-1193,"""What's up' Up North: An Overview of Current Research at Trout Lake Station, with Gretchen Gerrish, Director of Trout Lake Station, Center for Limnology, UW-Madison. 
UW Trout Lake Station is in the Northwoods near Boulder Junction, WI and has  hosted research on Wisconsin lakes and adjacent landscapes since 1925, with continuous monitoring of 7 regional lakes since 1981. The talk will provide an overview of current and  upcoming research framed within the long-term data and perspectives provided at the almost 100-year-old station.",virtual/webinar via Zoom,"November 16, 2021; noon - 1:15pm ",Register at foamadison.org using the Luncheon-Lectures Tab, cost is $10, a link will be provided to all registrants for later viewing. ,,
,X,10/12/2021 20:24:54,Barbara K. Flores,Madison Wild Ones,bafheartland@gmail.com,8152898602," Engaging the Community in Conservation

Madison Parks’ Conservation Resource Supervisor, Paul Quinlan, will give an overview of the
various research and restoration projects that are supported by students and volunteers in
some of the City’s twenty conservation parks.

","Goodman Community Center,Ironworks Bldg. Bolz room B,  149 Waubesa Street, Madison, WI 53704. ","Wednesday, October 20th, 6:45-8 pm.","Please remember, masks will be required upon entering the building and throughout the
event. Parking at the rear of the building and more across the street at the Brass Works.",,,,
